Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg,expected_combine_year,combine_player_name,combine_year,wingspan_inches,combine_year_gap,wingspan_minus_height
Craig Porter Jr.,PG,73.0,2024,CLE,649.0,9.4,3.7,15.1,0.5455282795202311,0.0655918893830412,0.6736037315593196,14.329253451907324,0,2023,,,,,
D'Angelo Russell,PG,75.0,2016,LAL,2259.0,6.5,2.2,11.2,0.0763062766697946,0.0605555697262469,0.1634002417388552,15.846829971181556,0,2015,D’Angelo Russell,2015.0,81.75,0.0,6.75
Daequan Cook,SG,77.0,2008,MIA,1441.0,7.4,1.6,13.3,0.5540485248976532,-0.488487545405989,0.9855178955758988,12.62680011951001,1,2007,Daequan Cook,2007.0,80.25,0.0,3.25
Damian Lillard,PG,74.0,2013,POR,3167.0,4.7,1.5,8.0,-0.3567761722516435,-0.3566642125000754,-0.26806178756623,17.044025034226483,0,2012,Damian Lillard,2012.0,79.75,0.0,5.75
Daniel Ewing,SG,75.0,2006,LAC,971.0,5.1,2.9,7.1,-0.5752678398190078,0.0672651146899652,-0.831089246527196,15.795228839017495,1,2005,,,,,
Daniel Gibson,PG,74.0,2007,CLE,988.0,5.4,3.2,7.7,-0.3886597041131547,0.235137567908997,-0.5985144765939446,17.06607142857143,0,2006,,,,,
DantÃ© Exum,PG,77.0,2015,UTA,1817.0,4.2,1.7,6.6,-0.9902283537341174,-0.4113333111933173,-0.9963396562604216,17.97715187021181,0,2014,Dante Exum,2014.0,81.5,0.0,4.5
Darius Garland,SG,73.0,2020,CLE,1824.0,3.4,1.6,5.2,-1.3294311620996362,-0.4465029730621738,-1.3897040489091623,17.837360754070268,1,2019,,,,,
De'Aaron Fox,PG,75.0,2018,SAC,2026.0,5.7,1.8,10.0,-0.2771218772987318,-0.2327736900541413,-0.1572336827643074,14.53963963963964,0,2017,De’Aaron Fox,2017.0,78.5,0.0,3.5
De'Anthony Melton,PG,74.0,2019,PHO,984.0,7.5,2.8,12.5,0.4103395209093355,0.3064202007717688,0.4174098629914508,17.445054945054945,0,2018,DeAnthony Melton,2018.0,80.5,0.0,6.5
Dennis SchrÃ¶der,PG,73.0,2014,ATL,641.0,5.4,0.9,9.9,-0.2549507941807691,-0.2634120673830125,-0.0984292783974611,13.291473259334005,0,2013,Dennis Schroder,2013.0,79.75,0.0,6.75
