Player,model_a_predicted_z,model_a_residual_z,model_a_residual_pct,model_b_predicted_z,model_b_residual_z,model_b_residual_pct,target
Bobby Brown,-0.18356660585324258,-1.2838711596478207,1.25,-0.2387610772389453,-1.228676688262118,1.25,TRB%
Bradley Beal,0.0979811233918277,0.2115379828519881,70.625,0.08174789261794513,0.22777121362587066,71.25,TRB%
Brandin Podziemski,0.15247774198523428,1.006475690317132,93.75,0.040544010297023474,1.1184094220053429,96.25,TRB%
Brandon Knight,-0.14344733510666993,-0.034488684749800075,49.375,-0.11811942729813235,-0.059816592558337656,46.25,TRB%
Bruce Brown,0.037594355627429174,0.18260549319240843,66.875,0.05818798825174305,0.16201186056809452,63.74999999999999,TRB%
Buddy Hield,0.11042169324721099,0.1950464099591845,68.125,0.14221929695887853,0.16324880624751698,64.375,TRB%
Cameron Payne,-0.23598955109560055,0.3578934808973455,77.5,-0.1647643946910283,0.2866683244927733,75.0,TRB%
Cason Wallace,0.05345657308781604,-0.36138937569925156,23.75,0.0912483783036859,-0.39918118091512145,22.5,TRB%
Cedric Coward,0.20037881524553633,1.5409289504495987,100.0,0.4181343763204107,1.3231733893747244,98.125,TRB%
Charles Jenkins,-0.14813199849630662,-0.7834153995758025,8.125,-0.0964858332396665,-0.8350615648324426,7.5,TRB%
Coby White,0.027103811106321114,0.3769502331094977,80.625,-0.0511558998969731,0.4552099441127919,83.125,TRB%
Collin Sexton,-0.046551613649539476,-0.4938072258886143,17.5,-0.03778161739510874,-0.502577222143045,16.875,TRB%
D'Angelo Russell,-0.0505474253757733,0.1268537020455679,62.5,0.0682011012635551,0.008105175406239506,51.87500000000001,TRB%
Daequan Cook,0.17945551042256355,0.37459301447508964,79.375,0.15801583590095747,0.39603268899669575,80.625,TRB%
Damian Lillard,-0.06535386302611289,-0.2914223092255306,26.25,-0.016591558783060612,-0.34018461346858286,23.75,TRB%
Dant̩ Exum,0.051609110963752376,-1.0418374646978699,3.75,0.112215958260033,-1.1024443119941505,2.5,TRB%
De'Aaron Fox,-0.05732404653888401,-0.21979783075984777,30.625000000000004,-0.06254841608193645,-0.21457346121679532,31.874999999999996,TRB%
De'Anthony Melton,-0.2582831051104352,0.6686226260197707,87.5,-0.1506835779477296,0.5610230988570651,86.25,TRB%
Dennis Schr̦der,-0.3265402292624881,0.071589435081719,59.375,-0.21065273932653017,-0.04429805485423893,47.5,TRB%
Denzel Valentine,0.06148341032698016,0.3672976122642419,78.75,0.17181976651344222,0.25696125607777986,74.375,TRB%
Deron Williams,-0.027810797170553507,-0.5474570426484543,15.625,-0.04577789336712983,-0.529489946451878,16.25,TRB%
Derrick Rose,0.016888723581139495,-0.04044952381487339,48.75,0.056295698442403674,-0.07985649867613757,43.75,TRB%
Devin Booker,0.22459110703273988,-0.923444933606104,5.0,0.1914859596846833,-0.8903397862580474,5.625,TRB%
Devonte' Graham,-0.3087241805401243,-0.23163465899802949,29.375,-0.25021870371882576,-0.290140135819328,27.500000000000004,TRB%
Dion Waiters,0.01727069153958319,-0.30741733594168064,25.624999999999996,-0.004371563290339688,-0.2857750811117578,28.125,TRB%
Donovan Mitchell,-0.00015027193265920724,-0.07173582488507849,43.75,0.09835550143687546,-0.17024159825461316,35.625,TRB%
Doron Lamb,0.013408158821159755,-0.47012862284712204,18.75,-0.033500477232114634,-0.42321998679384765,20.625,TRB%
Drake Powell,0.17738964072353985,-0.8865257619256797,5.625,0.3092144613067665,-1.0183505825089063,5.0,TRB%
Duane Washington Jr.,-0.21865096587031907,-0.46009380465789373,19.375,-0.1323553185167755,-0.5463894520114373,15.625,TRB%
Dylan Harper,0.1830945144548628,0.16742077489316998,66.25,0.2486582771915441,0.10185701215648868,59.375,TRB%
Elfrid Payton,-0.013688244911546578,0.8372444995022983,93.125,0.035480910299753754,0.7880753442909979,92.5,TRB%
Eric Bledsoe,-0.2685413925674341,0.6767389535831663,88.75,-0.18841739513936548,0.5966149561550976,87.5,TRB%
Eric Gordon,0.09738459428594523,-1.0491520150486766,3.125,0.13324894542176685,-1.0850163661844983,3.75,TRB%
Eric Maynor,-0.09818284051241502,-0.04891159699470629,46.875,-0.24790905287708553,0.10081461536996422,58.75,TRB%
Frank Jackson,-0.15210981552379946,-0.045997614253257935,47.5,-0.10996107782035566,-0.08814635195670173,43.125,TRB%
Gary Harris,-0.011915190861155445,-0.684185929090551,13.125,-0.06850878387576592,-0.6275923360759406,12.5,TRB%
George Hill,-0.05522140125232301,0.7020320491784209,90.0,0.022127488578790724,0.6246831593473071,88.125,TRB%
Hamidou Diallo,0.11199386681363967,1.0589043424536873,95.0,0.23531548021608714,0.9355827290512398,93.75,TRB%
Iman Shumpert,0.06520945064624878,-0.05474262594880948,46.25,0.13214131764865072,-0.12167449295121142,38.75,TRB%
Immanuel Quickley,-0.206285227715765,-0.1824467783148704,35.0,-0.10610145979980791,-0.2826305462308275,28.749999999999996,TRB%
Isaiah Briscoe,-0.19910806032467387,0.45733584356241097,84.375,-0.0875154441655817,0.3457432274033188,78.125,TRB%
Isaiah Collier,-0.037646290914581285,-0.1246770727131853,37.5,-0.14443446064579854,-0.017888902981968047,50.625,TRB%
Isaiah Whitehead,0.0068822308360546825,-0.17000322129199907,35.625,0.07531456381085153,-0.2384355542667959,30.625000000000004,TRB%
JJ Redick,-0.2143803466205051,-0.2776280626821592,27.500000000000004,-0.3377423324778287,-0.15426607682483562,37.5,TRB%
Ja'Kobe Walter,0.04771805807927231,0.09756814632677807,60.62499999999999,0.12124654636757684,0.02403965803847355,54.37499999999999,TRB%
Jabari Brown,-0.023878074172673347,-1.3094987189742573,0.625,-0.01823598465866073,-1.3151408084882699,0.625,TRB%
Jalen Brunson,-0.15504892845869922,-0.11911437015415738,38.75,-0.22511464143348375,-0.049048657179372845,46.875,TRB%
Jalen Williams,0.24863032096078444,-0.01596251937824225,51.24999999999999,0.45501692792169207,-0.22234912633914988,31.25,TRB%
Jamal Shead,-0.2696969930856074,-0.8154550746436104,7.5,-0.3579161402144728,-0.7272359275147451,10.0,TRB%
James Harden,0.22755182555987008,0.6286231853654862,86.875,0.3066138790735238,0.5495611318518325,85.625,TRB%
Jared McCain,-0.037140200878023666,-0.6378657761394382,13.750000000000002,-0.18328970470413022,-0.4917162723133317,17.5,TRB%
